Rank,Driver,Points,Diff
1,Joey Logano,52,
2,Chris Buescher,50,-2
3,Ricky Stenhouse Jr,48,-4
4,Christopher Bell,44,-8
5,Alex Bowman,41,-11
6,Ross Chastain,38,-14
7,Ryan Blaney,37,-15
7,Kevin Harvick,37,-15
9,A.J. Allmendinger,34,-18
10,Martin Truex Jr,32,-20
10,Brad Keselowski,32,-20
12,Daniel Suarez,30,-22
13,Aric Almirola,29,-23
13,Austin Cindric,29,-23
15,Corey LaJoie,27,-25
16,Travis Pastrana,26,-26
17,Kyle Larson,24,-28
18,Cody Ware,23,-29
19,Denny Hamlin,22,-30
20,Bubba Wallace,21,-31
20,Michael McDowell,21,-31
