Rank,Driver,Wins,Points
1,Chase Elliott,4,847
2,Ross Chastain,2,710
3,Joey Logano,2,673
4,William Byron,2,617
5,Tyler Reddick,2,557
6,Denny Hamlin,2,524
7,Kyle Larson,1,705
8,Christopher Bell,1,668
9,Kyle Busch,1,634
10,Kevin Harvick,1,618
11,Alex Bowman,1,572
12,Daniel Suarez,1,556
13,Chase Briscoe,1,533
14,Austin Cindric,1,531
15,Kurt Busch,1,485
16,Ryan Blaney,0,728
