Rank,Driver,Points,Diff
1,Chase Elliott,847,
2,Ryan Blaney,728,-119
3,Ross Chastain,710,-137
4,Martin Truex Jr,709,-138
5,Kyle Larson,705,-142
6,Joey Logano,673,-174
7,Christopher Bell,668,-179
8,Kyle Busch,634,-213
9,Kevin Harvick,618,-229
10,William Byron,617,-230
11,Alex Bowman,572,-275
12,Tyler Reddick,557,-290
13,Daniel Suarez,556,-291
14,Erik Jones,538,-309
15,Chase Briscoe,533,-314
16,Austin Cindric,531,-316
17,Denny Hamlin,524,-323
18,Aric Almirola,518,-329
19,Bubba Wallace,493,-354
20,Kurt Busch,485,-362
21,Austin Dillon,483,-364
