Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,21,21,,
yellow_flag,22,24,3,competition,none
green_flag,25,25,1,,
yellow_flag,26,32,7,"#2,10,15,18,21,34,38,45,47 accident turn 2",none
green_flag,33,46,14,,
yellow_flag,47,51,5,end of stage 1,#34
green_flag,52,98,47,,
yellow_flag,99,105,7,#41 accident backstretch,#23
green_flag,106,109,4,,
yellow_flag,110,113,4,#16 accident turn 2,#78
green_flag,114,121,8,,
yellow_flag,122,126,5,end of stage 2,#78
green_flag,127,160,34,,
yellow_flag,161,165,5,"#1,20 accident turn 4",#99
green_flag,166,200,35,,
Percent of race run under caution: 18.0%             Average green flag run: 20.5 laps
