Rank,Driver,Wins,Points
1,Kyle Larson,5,917
2,Martin Truex Jr,3,740
3,Alex Bowman,3,633
4,Kyle Busch,2,779
5,Chase Elliott,2,749
6,William Byron,1,786
7,Joey Logano,1,760
8,Ryan Blaney,1,712
9,Brad Keselowski,1,678
10,Kurt Busch,1,576
11,Christopher Bell,1,571
12,Michael McDowell,1,464
13,Aric Almirola,1,398
14,Denny Hamlin,0,917
15,Kevin Harvick,0,710
16,Tyler Reddick,0,630
