Rank,Driver,Points,Diff
1,Kyle Larson,917,
1,Denny Hamlin,917,0
3,William Byron,786,-131
4,Kyle Busch,779,-138
5,Joey Logano,760,-157
6,Chase Elliott,749,-168
7,Martin Truex Jr,740,-177
8,Ryan Blaney,712,-205
9,Kevin Harvick,710,-207
10,Brad Keselowski,678,-239
11,Alex Bowman,633,-284
12,Tyler Reddick,630,-287
13,Austin Dillon,615,-302
14,Kurt Busch,576,-341
15,Christopher Bell,571,-346
16,Chris Buescher,495,-422
17,Matt DiBenedetto,483,-434
18,Ross Chastain,482,-435
19,Michael McDowell,464,-453
20,Ricky Stenhouse Jr,442,-475
21,Bubba Wallace,440,-477
