Rank,Driver,Points,Diff
1,Chase Elliott,5000,
1,Joey Logano,5000,0
1,Christopher Bell,5000,0
1,Ross Chastain,5000,0
5,Denny Hamlin,2350,-2650
6,William Byron,2339,-2661
7,Kyle Larson,2316,-2684
8,Ryan Blaney,2300,-2700
9,Daniel Suarez,2259,-2741
10,Chase Briscoe,2244,-2756
11,Austin Dillon,2204,-2796
12,Austin Cindric,2198,-2802
13,Tyler Reddick,2197,-2803
14,Kyle Busch,2194,-2806
15,Kevin Harvick,2185,-2815
16,Alex Bowman,2104,-2896
17,Martin Truex Jr,1001,-3999
18,Erik Jones,808,-4192
19,Bubba Wallace,749,-4251
20,Aric Almirola,743,-4257
21,Chris Buescher,711,-4289
