Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,5,24,William Byron,RaptorTough.com   (Rick Hendrick),Chevrolet,403,running,212,58,5
2,14,22,Joey Logano,Shell / Pennzoil   (Roger Penske),Ford,403,running,0,46,0
3,23,3,Austin Dillon,Get Bioethanol   (Richard Childress),Chevrolet,403,running,1,39,0
4,12,12,Ryan Blaney,Advance Auto Parts   (Roger Penske),Ford,403,running,5,44,0
5,27,1,Ross Chastain,Go Pro   (Trackhouse Racing),Chevrolet,403,running,0,32,0
6,18,45,Kurt Busch,McDonald's / Money Lion   (23XI Racing),Toyota,403,running,0,32,0
7,11,18,Kyle Busch,M&M's Crunchy Cookie   (Joe Gibbs),Toyota,403,running,0,30,0
8,2,10,Aric Almirola,Smithfield Spirals   (Stewart Haas Racing),Ford,403,running,0,39,0
9,19,14,Chase Briscoe,Mahindra Tractors   (Stewart Haas Racing),Ford,403,running,0,28,0
10,1,9,Chase Elliott,Llumar   (Rick Hendrick),Chevrolet,403,running,185,47,2
11,13,2,Austin Cindric,Menards / Moen   (Roger Penske),Ford,403,running,0,31,0
12,15,48,Alex Bowman,Ally   (Rick Hendrick),Chevrolet,403,running,0,25,0
13,24,43,Erik Jones,Focus Factor   (Petty GMS Motorsports),Chevrolet,403,running,0,24,0
14,6,4,Kevin Harvick,Subway   (Stewart Haas Racing),Ford,403,running,0,29,0
15,4,17,Chris Buescher,Fastenal   (Jack Roush),Ford,403,running,0,22,0
16,21,23,Bubba Wallace,Door Dash   (23XI Racing),Toyota,403,running,0,21,0
17,9,6,Brad Keselowski,Fastenal   (Jack Roush),Ford,403,running,0,20,0
18,22,8,Tyler Reddick,3CHI   (Richard Childress),Chevrolet,403,running,0,19,0
19,8,5,Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,403,running,0,18,0
20,7,20,Christopher Bell,Yahoo   (Joe Gibbs),Toyota,402,running,0,26,0
21,3,41,Cole Custer,HaasTooling.com   (Stewart Haas Racing),Ford,402,running,0,30,0
22,20,19,Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,401,running,0,15,0
23,34,42,Ty Dillon,chevyliners.com   (Petty GMS Motorsports),Chevrolet,401,running,0,14,0
24,36,16,A.J. Allmendinger,Action Industries   (Matthew Kaulig),Chevrolet,401,running,0,0,0
25,16,34,Michael McDowell,Navage Nasal Care   (Bob Jenkins),Ford,400,running,0,12,0
26,29,21,Harrison Burton,Motorcraft / Quick Lane   (Wood Brothers),Ford,400,running,0,11,0
27,28,47,Ricky Stenhouse Jr,Kroger / Louisiana Hot Sauce   (JTG-Daugherty Racing),Chevrolet,400,running,0,10,0
28,25,11,Denny Hamlin,Sport Clips Haircuts   (Joe Gibbs),Toyota,400,running,0,9,0
29,30,99,Daniel Suarez,Go Pro   (Trackhouse Racing),Chevrolet,399,running,0,8,0
30,10,38,Todd Gilliland,Cross Country Adjusting   (Bob Jenkins),Ford,399,running,0,7,0
31,17,31,Justin Haley,Leaf Filter Gutter Protection   (Matthew Kaulig),Chevrolet,398,running,0,6,0
32,26,7,Corey LaJoie,Built.com   (Spire Motorsports),Chevrolet,397,running,0,5,0
33,35,51,Cody Ware,Nurtec ODT   (Rick Ware),Ford,394,running,0,4,0
34,32,15,J.J. Yeley,Rick Ware,Ford,392,running,0,0,0
35,31,77,Josh Bilicki,Zeigler Auto Group   (Spire Motorsports),Chevrolet,391,running,0,0,0
36,33,78,B.J. McLeod,Epilepsy Foundation   (B.J. McLeod),Ford,132,handling,0,1,0
