Rank,Driver,Points,Diff
1,Chase Elliott,288,
2,Ryan Blaney,285,-3
3,William Byron,276,-12
4,Joey Logano,261,-27
5,Ross Chastain,246,-42
6,Alex Bowman,237,-51
6,Martin Truex Jr,237,-51
8,Aric Almirola,223,-65
9,Kevin Harvick,222,-66
10,Kyle Busch,221,-67
11,Chase Briscoe,220,-68
12,Tyler Reddick,202,-86
13,Austin Cindric,201,-87
13,Kyle Larson,201,-87
15,Austin Dillon,197,-91
16,Kurt Busch,187,-101
17,Erik Jones,181,-107
18,Daniel Suarez,179,-109
19,Christopher Bell,173,-115
19,Chris Buescher,173,-115
21,Denny Hamlin,157,-131
