driver_name,start_pos,mid_race_pos,finish_pos,highest_pos,lowest_pos,avg_pos,pass_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,total_laps,driver_rating
William Byron,5,1,1,1,12,2,5,13,8,12,92.3,72,403,100.0,212,52.6,403,144.9
Joey Logano,14,3,2,2,14,5,9,25,16,24,96.0,22,403,100.0,0,0.0,403,116.9
Austin Dillon,23,5,3,1,24,8,18,41,23,25,61.0,35,328,81.4,1,0.2,403,105.1
Ryan Blaney,12,4,4,1,15,6,3,30,27,21,70.0,31,403,100.0,5,1.2,403,105.8
Ross Chastain,27,18,5,2,29,14,22,65,43,29,44.6,17,226,56.1,0,0.0,403,85.5
Kurt Busch,18,8,6,4,18,10,10,43,33,32,74.4,8,368,91.3,0,0.0,403,95.9
Kyle Busch,11,10,7,2,26,12,6,65,59,36,55.4,7,289,71.7,0,0.0,403,85.2
Aric Almirola,2,7,8,2,14,6,-4,28,32,19,67.9,4,403,100.0,0,0.0,403,102.5
Chase Briscoe,19,15,9,3,20,14,7,62,55,31,50.0,11,267,66.3,0,0.0,403,82.0
Chase Elliott,1,2,10,1,16,4,-1,39,40,27,69.2,69,403,100.0,185,45.9,403,122.5
Austin Cindric,13,9,11,4,15,10,-2,43,45,33,76.7,7,403,100.0,0,0.0,403,85.7
Alex Bowman,15,14,12,7,24,14,-1,38,39,16,42.1,2,355,88.1,0,0.0,403,78.4
Erik Jones,24,23,13,5,28,21,17,56,39,26,46.4,1,99,24.6,0,0.0,403,63.6
Kevin Harvick,6,11,14,6,18,11,2,46,44,30,65.2,4,336,83.4,0,0.0,403,83.9
Chris Buescher,4,16,15,4,23,15,-16,45,61,17,37.8,3,118,29.3,0,0.0,403,71.8
Bubba Wallace,21,20,16,11,23,18,7,51,44,14,27.5,1,113,28.0,0,0.0,403,64.2
Brad Keselowski,9,19,17,8,26,17,0,31,31,4,12.9,3,86,21.3,0,0.0,403,68.5
Tyler Reddick,22,17,18,8,23,17,-9,51,60,13,25.5,5,92,22.8,0,0.0,403,63.7
Kyle Larson,8,12,19,5,22,13,-15,32,47,19,59.4,3,304,75.4,0,0.0,403,79.5
Christopher Bell,7,6,20,3,26,10,-15,33,48,9,27.3,8,293,72.9,0,0.0,402,93.7
Cole Custer,3,22,21,2,26,13,-4,36,40,13,36.1,6,198,49.3,0,0.0,402,81.8
Martin Truex Jr,20,13,22,7,29,19,-11,31,42,7,22.6,11,104,25.9,0,0.0,401,65.2
Ty Dillon,34,29,23,23,34,28,9,29,20,0,0.0,0,0,0.0,0,0.0,401,41.7
A.J. Allmendinger,36,30,24,22,36,29,10,23,13,0,0.0,10,0,0.0,0,0.0,401,43.0
Michael McDowell,16,24,25,16,27,24,-11,26,37,0,0.0,0,0,0.0,0,0.0,400,50.2
Harrison Burton,29,25,26,15,30,27,-4,43,47,4,9.3,0,0,0.0,0,0.0,400,42.7
Ricky Stenhouse Jr,28,27,27,23,30,27,-1,36,37,0,0.0,0,0,0.0,0,0.0,400,41.8
Denny Hamlin,25,26,28,11,28,25,14,51,37,7,13.7,0,6,1.5,0,0.0,400,47.0
Daniel Suarez,30,28,29,25,33,29,1,14,13,0,0.0,19,0,0.0,0,0.0,399,42.4
Todd Gilliland,10,21,30,2,30,21,-22,46,68,12,26.1,0,45,11.3,0,0.0,399,46.8
Justin Haley,17,32,31,16,32,29,-12,10,22,0,0.0,2,0,0.0,0,0.0,398,43.8
Corey LaJoie,26,31,32,23,32,31,-7,17,24,0,0.0,0,0,0.0,0,0.0,397,37.7
Cody Ware,35,33,33,32,35,33,4,14,10,0,0.0,0,0,0.0,0,0.0,394,29.0
J.J. Yeley,32,35,34,31,35,34,-2,8,10,0,0.0,0,0,0.0,0,0.0,392,30.3
Josh Bilicki,31,34,35,31,35,34,-6,12,18,0,0.0,0,0,0.0,0,0.0,391,25.3
B.J. McLeod,33,36,36,33,36,36,-2,0,2,0,0.0,0,0,0.0,0,0.0,132,23.2
