Leader,From Lap,To Lap,# Of Laps
Ross Chastain,1,16,16
Martin Truex Jr,17,46,30
Ty Gibbs,47,47,1
Alex Bowman,48,63,16
Christopher Bell,64,64,1
Alex Bowman,65,65,1
Denny Hamlin,66,66,1
Josh Bilicki,67,67,1
Alex Bowman,68,69,2
Tyler Reddick,70,76,7
Martin Truex Jr,77,82,6
Bubba Wallace,83,99,17
Martin Truex Jr,100,103,4
Bubba Wallace,104,107,4
Daniel Suarez,108,119,12
Martin Truex Jr,120,122,3
Chris Buescher,123,156,34
Martin Truex Jr,157,159,3
Ryan Blaney,160,160,1
Brad Keselowski,161,175,15
Kyle Larson,176,177,2
Ty Dillon,178,179,2
Austin Dillon,180,181,2
Chris Buescher,182,187,6
Martin Truex Jr,188,188,1
Chris Buescher,189,200,12
