Rank,Driver,Points,Diff
1,Martin Truex Jr,799,
2,Denny Hamlin,743,-56
3,William Byron,702,-97
4,Christopher Bell,677,-122
5,Kevin Harvick,663,-136
6,Kyle Larson,662,-137
7,Ross Chastain,656,-143
8,Brad Keselowski,651,-148
9,Kyle Busch,649,-150
10,Ryan Blaney,642,-157
11,Chris Buescher,639,-160
12,Joey Logano,636,-163
13,Tyler Reddick,609,-190
14,Bubba Wallace,541,-258
15,Ricky Stenhouse Jr,530,-269
16,Ty Gibbs,486,-313
17,Michael McDowell,483,-316
18,Daniel Suarez,481,-318
19,A.J. Allmendinger,462,-337
20,Alex Bowman,442,-357
21,Austin Cindric,433,-366
