Rank,Driver,Points,Diff
1,Joey Logano,4106,
2,Ross Chastain,4101,-5
3,Chase Elliott,4093,-13
4,William Byron,4087,-19
5,Denny Hamlin,4082,-24
6,Ryan Blaney,4069,-37
7,Christopher Bell,4054,-52
8,Chase Briscoe,4043,-63
9,Kyle Larson,2266,-1840
10,Daniel Suarez,2230,-1876
11,Austin Dillon,2200,-1906
12,Tyler Reddick,2195,-1911
13,Austin Cindric,2187,-1919
14,Kyle Busch,2186,-1920
15,Kevin Harvick,2164,-1942
16,Alex Bowman,2104,-2002
17,Martin Truex Jr,984,-3122
18,Erik Jones,789,-3317
19,Aric Almirola,720,-3386
20,Bubba Wallace,719,-3387
21,Chris Buescher,698,-3408
