Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,5,5,Kyle Larson,Valvoline   (Rick Hendrick),Chevrolet,267,running,199,60,7
2,20,1,Ross Chastain,Kubota   (Trackhouse Racing),Chevrolet,267,running,0,38,0
3,10,16,A.J. Allmendinger,Ed Morse Automotive Group   (Matthew Kaulig),Chevrolet,267,running,0,0,0
4,32,3,Austin Dillon,Huk   (Richard Childress),Chevrolet,267,running,0,39,0
5,9,6,Brad Keselowski,Violet Defense   (Jack Roush),Ford,267,running,0,42,0
6,12,19,Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,267,running,28,48,0
7,14,11,Denny Hamlin,FedEx Ground   (Joe Gibbs),Toyota,267,running,4,31,0
8,16,4,Kevin Harvick,Busch Light   (Stewart Haas Racing),Ford,267,running,0,29,0
9,11,18,Kyle Busch,Skittles Lime is Back   (Joe Gibbs),Toyota,267,running,0,28,0
10,23,99,Daniel Suarez,Princess Cruises   (Trackhouse Racing),Chevrolet,267,running,0,31,0
11,2,20,Christopher Bell,Rheem-Watts   (Joe Gibbs),Toyota,267,running,4,26,0
12,1,24,William Byron,Liberty University   (Rick Hendrick),Chevrolet,267,running,32,42,0
13,8,17,Chris Buescher,Fastenal   (Jack Roush),Ford,267,running,0,24,0
14,3,9,Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,267,running,0,31,0
15,27,47,Ricky Stenhouse Jr,Kroger/ Slim Jim   (JTG-Daugherty Racing),Chevrolet,267,running,0,22,0
16,18,34,Michael McDowell,Love's Travel Stops   (Bob Jenkins),Ford,267,running,0,21,0
17,13,12,Ryan Blaney,MenardsPennzoil   (Roger Penske),Ford,267,running,0,29,0
18,17,22,Joey Logano,Shell Pennzoil   (Roger Penske),Ford,267,running,0,22,0
19,26,2,Austin Cindric,Freightliner   (Roger Penske),Ford,267,running,0,18,0
20,21,21,Harrison Burton,DEX Imaging   (Wood Brothers),Ford,267,running,0,17,0
21,28,10,Aric Almirola,Smithfield Premium Bacon   (Stewart Haas Racing),Ford,267,running,0,16,0
22,6,23,Ty Gibbs,Monster Energy   (23XI Racing),Toyota,267,running,0,0,0
23,31,7,Corey LaJoie,Built.com   (Spire Motorsports),Chevrolet,267,running,0,14,0
24,25,41,Cole Custer,Dixie Vodka   (Stewart Haas Racing),Ford,266,running,0,13,0
25,24,48,Noah Gragson,Ally   (Rick Hendrick),Chevrolet,266,running,0,0,0
26,30,42,Ty Dillon,SunseekerResorts.com   (Petty GMS Motorsports),Chevrolet,266,running,0,11,0
27,4,45,John H. Nemechek,Columbia Sportswear Company   (23XI Racing),Toyota,266,running,0,0,0
28,15,31,Justin Haley,LeafFilter Gutter Protection   (Matthew Kaulig),Chevrolet,266,running,0,9,0
29,33,77,Landon Cassill,Zeigler Auto/LoJack   (Spire Motorsports),Chevrolet,266,running,0,0,0
30,22,43,Erik Jones,The Morgan Law Group   (Petty GMS Motorsports),Chevrolet,264,running,0,7,0
31,29,38,Todd Gilliland,EO South Florida   (Bob Jenkins),Ford,264,running,0,6,0
32,34,15,J.J. Yeley,Jacob Companies   (Rick Ware),Ford,263,running,0,0,0
33,35,78,B.J. McLeod,Frankie Zombie Z222 Motorsport Games   (B.J. McLeod),Ford,262,running,0,0,0
34,36,51,Cody Ware,Nurtec ODT UBCF   (Rick Ware),Ford,262,running,0,3,0
35,7,8,Tyler Reddick,3CHI   (Richard Childress),Chevrolet,242,crash,0,9,0
36,19,14,Chase Briscoe,Magical Vacation Planner   (Stewart Haas Racing),Ford,160,crash,0,1,0
