Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,30,30,,
yellow_flag,31,35,5,#45 accident backstretch,#78
green_flag,36,81,46,,
yellow_flag,82,87,6,end of stage 1,#41
green_flag,88,161,74,,
yellow_flag,162,170,9,debris turn 2,#17
green_flag,171,211,41,,
yellow_flag,212,216,5,#12 spun turn 1,#22
green_flag,217,245,29,,
yellow_flag,246,250,5,#8 accident turn 2,#34
green_flag,251,267,17,,
Percent of race run under caution: 11.2%             Average green flag run: 39.5 laps
