Leader,From Lap,To Lap,# Of Laps
Joey Logano,1,63,63
Cody Ware,64,64,1
Kyle Busch,65,69,5
Ryan Blaney,70,74,5
Kyle Busch,75,76,2
Joey Logano,77,131,55
Chris Buescher,132,136,5
Christopher Bell,137,142,6
Joey Logano,143,159,17
Austin Cindric,160,164,5
Aric Almirola,165,168,4
Ricky Stenhouse Jr,169,175,7
Denny Hamlin,176,188,13
Kevin Harvick,189,189,1
Ross Chastain,190,194,5
Denny Hamlin,195,195,1
Aric Almirola,196,208,13
Brad Keselowski,209,226,18
Joey Logano,227,230,4
Brad Keselowski,231,259,29
Joey Logano,260,260,1
