Rank,Driver,Points,Diff
1,Alex Bowman,185,
2,Joey Logano,177,-8
3,Christopher Bell,176,-9
4,Ross Chastain,172,-13
5,Ryan Blaney,161,-24
6,Brad Keselowski,160,-25
7,Kevin Harvick,155,-30
8,William Byron,154,-31
9,Kyle Busch,153,-32
10,Martin Truex Jr,145,-40
11,Kyle Larson,143,-42
12,Denny Hamlin,141,-44
13,Daniel Suarez,129,-56
14,Austin Cindric,126,-59
15,Ricky Stenhouse Jr,124,-61
16,Chris Buescher,122,-63
17,Corey LaJoie,113,-72
18,Tyler Reddick,111,-74
19,Bubba Wallace,102,-83
20,A.J. Allmendinger,92,-93
20,Michael McDowell,92,-93
