Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,10,10,,
yellow_flag,11,15,5,accident backstretch,none
green_flag,16,61,46,,
yellow_flag,62,67,6,end of stage 1,#23
green_flag,68,161,94,,
yellow_flag,162,168,7,end of stage 2,#78
green_flag,169,190,22,,
yellow_flag,191,199,9,accident backstretch,#12
green_flag,200,209,10,,
yellow_flag,210,216,7,accident turn 4,#14
green_flag,217,260,44,,
Percent of race run under caution: 13.1%             Average green flag run: 37.7 laps
