Rank,Driver,Wins,Points
1,Alex Bowman,0,185
2,Ross Chastain,0,172
3,Christopher Bell,0,167
3,Joey Logano,1,167
5,William Byron,2,154
6,Ryan Blaney,0,153
6,Brad Keselowski,0,153
6,Kyle Busch,1,153
9,Kevin Harvick,0,150
10,Martin Truex Jr,0,142
11,Denny Hamlin,0,139
12,Kyle Larson,0,138
13,Daniel Suarez,0,129
14,Ricky Stenhouse Jr,1,124
15,Austin Cindric,0,117
16,Chris Buescher,0,115
