Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,2,11,Denny Hamlin,Offerpad   (Joe Gibbs),Toyota,367,running,146,57,6
2,6,5,Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,367,running,156,54,1
3,23,42,Ross Chastain,McDonald's   (Chip Ganassi),Chevrolet,367,running,1,44,0
4,10,19,Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,367,running,1,38,0
5,9,4,Kevin Harvick,Busch Light Fan Design   (Stewart Haas Racing),Ford,367,running,20,44,0
6,3,1,Kurt Busch,Monster Energy   (Chip Ganassi),Chevrolet,367,running,13,44,0
7,16,2,Brad Keselowski,Discount Tire   (Roger Penske),Ford,367,running,0,30,0
8,11,22,Joey Logano,Shell / Pennzoil   (Roger Penske),Ford,367,running,0,34,0
9,34,17,Chris Buescher,Roush Performance   (Jack Roush),Ford,367,running,0,28,0
10,21,3,Austin Dillon,Bass Pro Shops / Tracker Off Road   (Richard Childress),Chevrolet,367,running,0,27,0
11,31,41,Cole Custer,HaasTooling.com Demo Day   (Stewart Haas Racing),Ford,367,running,0,26,0
12,18,37,Ryan Preece,Kroger /  Hershey's S'mores   (JTG-Daugherty Racing),Chevrolet,367,running,0,25,0
13,26,99,Daniel Suarez,Good Sam   (Trackhouse Racing),Chevrolet,367,running,0,24,0
14,19,6,Ryan Newman,Oscar Mayer Bologna   (Jack Roush),Ford,367,running,0,23,0
15,25,7,Corey LaJoie,Schluter Systems   (Spire Motorsports),Chevrolet,367,running,0,23,0
16,8,10,Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,366,running,0,24,0
17,29,47,Ricky Stenhouse Jr,Kroger / Little Hug   (JTG-Daugherty Racing),Chevrolet,366,running,0,20,0
18,7,8,Tyler Reddick,Childress Vineyards   (Richard Childress),Chevrolet,366,running,0,23,0
19,24,14,Chase Briscoe,HighPoint.com / Founders   (Stewart Haas Racing),Ford,366,running,0,18,0
20,13,20,Christopher Bell,Sport Clips Haircuts   (Joe Gibbs),Toyota,366,running,10,26,0
21,17,23,Bubba Wallace,Door Dash   (23XI Racing),Toyota,366,running,0,16,0
22,1,12,Ryan Blaney,Menards / Richmond   (Roger Penske),Ford,366,running,17,24,0
23,30,21,Matt DiBenedetto,Motorcraft / Quick Lane   (Wood Brothers),Ford,365,running,0,14,0
24,32,38,Anthony Alfredo,Chicago Pneumatic Compressors   (Bob Jenkins),Ford,364,running,0,13,0
25,20,77,Justin Haley,Bon Secours / Swamp Rabbits   (Spire Motorsports),Chevrolet,364,running,0,0,0
26,5,48,Alex Bowman,Ally   (Rick Hendrick),Chevrolet,363,running,0,11,0
27,27,78,B.J. McLeod,CorvetteParts.net   (B.J. McLeod),Ford,359,running,0,0,0
28,28,52,Josh Bilicki,Junction Fuels Throwback   (Rick Ware),Ford,359,running,0,9,0
29,35,15,Joey Gase,Rick Ware,Chevrolet,357,running,1,0,0
30,37,00,Quin Houff,Units   (StarCom Racing),Chevrolet,355,running,0,7,0
31,4,9,Chase Elliott,NAPA / Children's   (Rick Hendrick),Chevrolet,327,crash,0,9,0
32,22,43,Erik Jones,Petty's Garage   (Richard Petty Motorsports),Chevrolet,264,engine,2,5,0
33,33,51,Cody Ware,Nurtec ODT   (Rick Ware),Chevrolet,209,crash,0,0,0
34,14,24,William Byron,Axalta   (Rick Hendrick),Chevrolet,199,crash,0,3,0
35,12,18,Kyle Busch,M&M's   (Joe Gibbs),Toyota,125,crash,0,2,0
36,36,53,James Davison,Rick Ware,Chevrolet,50,crash,0,1,0
37,15,34,Michael McDowell,Love's Travel Stops   (Bob Jenkins),Ford,30,crash,0,1,0
