Rank,Driver,Points,Diff
1,Kyle Larson,2106,
2,Denny Hamlin,2072,-34
3,Martin Truex Jr,2062,-44
4,Kurt Busch,2052,-54
5,Ryan Blaney,2048,-58
6,Joey Logano,2047,-59
7,Kevin Harvick,2046,-60
8,Brad Keselowski,2038,-68
9,Christopher Bell,2031,-75
10,Chase Elliott,2030,-76
11,Aric Almirola,2029,-77
12,Alex Bowman,2026,-80
12,Tyler Reddick,2026,-80
14,Kyle Busch,2024,-82
15,William Byron,2017,-89
16,Michael McDowell,2006,-100
17,Austin Dillon,713,-1393
18,Matt DiBenedetto,583,-1523
19,Chris Buescher,571,-1535
20,Ross Chastain,562,-1544
21,Ricky Stenhouse Jr,543,-1563
