Rank,Driver,Points,Diff
1,Kyle Larson,309,
2,Martin Truex Jr,295,-14
3,Denny Hamlin,292,-17
4,William Byron,261,-48
4,Ryan Blaney,261,-48
6,Chase Elliott,258,-51
7,Ty Gibbs,254,-55
8,Ross Chastain,232,-77
9,Tyler Reddick,229,-80
10,Alex Bowman,227,-82
11,Christopher Bell,221,-88
12,Bubba Wallace,216,-93
13,Chris Buescher,207,-102
14,Joey Logano,191,-118
15,Kyle Busch,189,-120
16,Chase Briscoe,188,-121
17,Daniel Suarez,178,-131
18,Brad Keselowski,176,-133
19,John H. Nemechek,157,-152
20,Erik Jones,154,-155
21,Austin Cindric,147,-162
