Leader,From Lap,To Lap,# Of Laps
Christopher Bell,1,9,9
Kyle Larson,10,39,30
Aric Almirola,40,42,3
Kyle Larson,43,66,24
Bubba Wallace,67,69,3
Kyle Larson,70,109,40
J.J. Yeley,110,110,1
Kyle Larson,111,114,4
Chase Elliott,115,131,17
Kyle Larson,132,132,1
Chase Elliott,133,162,30
Brad Keselowski,163,171,9
Denny Hamlin,172,172,1
Brad Keselowski,173,186,14
Denny Hamlin,187,215,29
Christopher Bell,216,221,6
Daniel Suarez,222,230,9
Denny Hamlin,231,263,33
Daniel Suarez,264,266,3
Tyler Reddick,267,268,2
