Rank,Driver,Points,Diff
1,Kyle Larson,2117,
2,Tyler Reddick,2111,-6
3,Denny Hamlin,2105,-12
4,William Byron,2097,-20
5,Brad Keselowski,2089,-28
6,Ryan Blaney,2081,-36
7,Kyle Busch,2080,-37
8,Ross Chastain,2074,-43
9,Christopher Bell,2069,-48
9,Chris Buescher,2069,-48
11,Joey Logano,2068,-49
12,Kevin Harvick,2063,-54
13,Martin Truex Jr,2056,-61
14,Bubba Wallace,2044,-73
15,Ricky Stenhouse Jr,2041,-76
16,Michael McDowell,2023,-94
17,Ty Gibbs,606,-1511
18,Chase Elliott,600,-1517
19,Daniel Suarez,597,-1520
20,Alex Bowman,563,-1554
