Leader,From Lap,To Lap,# Of Laps
Kyle Busch,1,1,1
Joey Logano,2,2,1
Kyle Busch,3,5,3
Kevin Harvick,6,11,6
Matt DiBenedetto,12,13,2
Kevin Harvick,14,14,1
"Martin Truex, Jr.",15,16,2
Kyle Larson,17,19,3
Cole Custer,20,26,7
Anthony Alfredo,27,27,1
Kevin Harvick,28,29,2
Kurt Busch,30,33,4
Kevin Harvick,34,37,4
Denny Hamlin,38,38,1
Brad Keselowski,39,40,2
Denny Hamlin,41,42,2
Brad Keselowski,43,53,11
Chris Buescher,54,60,7
"Ricky Stenhouse, Jr.",61,61,1
Joey Logano,62,64,3
Tyler Reddick,65,66,2
Joey Logano,67,71,5
Cody Ware,72,75,4
Justin Haley,76,79,4
Christopher Bell,80,83,4
Denny Hamlin,84,86,3
Christopher Bell,87,88,2
Kevin Harvick,89,91,3
Christopher Bell,92,96,5
Alex Bowman,97,97,1
"Ricky Stenhouse, Jr.",98,105,8
Christopher Bell,106,106,1
"Ricky Stenhouse, Jr.",107,107,1
Kurt Busch,108,112,5
Bubba Wallace,113,117,5
