Rank,Driver,Points,Diff
1,Denny Hamlin,3116,
2,Kyle Larson,3097,-19
3,Joey Logano,3096,-20
4,Martin Truex Jr,3095,-21
4,Brad Keselowski,3095,-21
6,Ryan Blaney,3090,-26
7,Chase Elliott,3084,-32
7,Kyle Busch,3084,-32
9,Kevin Harvick,3075,-41
10,Christopher Bell,3056,-60
11,William Byron,3040,-76
12,Alex Bowman,3032,-84
13,Kurt Busch,2146,-970
14,Tyler Reddick,2125,-991
15,Aric Almirola,2104,-1012
16,Michael McDowell,2064,-1052
17,Austin Dillon,813,-2303
18,Matt DiBenedetto,658,-2458
19,Chris Buescher,656,-2460
20,Ross Chastain,645,-2471
21,Bubba Wallace,633,-2483
