Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,21,21,,
yellow_flag,22,25,4,competition,#66
green_flag,26,51,26,,
yellow_flag,52,55,4,end of stage 1,#52
green_flag,56,77,22,,
yellow_flag,78,81,4,"#10,37,38,48 accident turn 4",#15
green_flag,82,101,20,,
yellow_flag,102,105,4,end of stage 2,#51
green_flag,106,140,35,,
yellow_flag,141,144,4,"#15,51,53 accident turn 4",#2
green_flag,145,146,2,,
yellow_flag,147,150,4,"#19,96,14,8,24,99,38,2 accident backstretch",#52
green_flag,151,157,7,,
yellow_flag,158,163,6,"#9,20,21,2,18,11,37,42,41,47,16 accident turn 4",#78
green_flag,164,164,1,,
yellow_flag,165,165,1,"#4,3,99,1,5,42,7,48,43 accident turn 3",none
Percent of race run under caution: 18.8%             Average green flag run: 16.8 laps
