Rank,Driver,Points,Diff
1,Kyle Larson,2052,
2,Martin Truex Jr,2024,-28
2,Ryan Blaney,2024,-28
4,Kyle Busch,2022,-30
5,Chase Elliott,2021,-31
6,Alex Bowman,2015,-37
6,Denny Hamlin,2015,-37
8,William Byron,2014,-38
9,Joey Logano,2013,-39
10,Brad Keselowski,2008,-44
10,Kurt Busch,2008,-44
12,Aric Almirola,2005,-47
12,Michael McDowell,2005,-47
12,Christopher Bell,2005,-47
15,Tyler Reddick,2003,-49
16,Kevin Harvick,2002,-50
17,Austin Dillon,686,-1366
18,Matt DiBenedetto,569,-1483
19,Chris Buescher,543,-1509
20,Ricky Stenhouse Jr,523,-1529
21,Bubba Wallace,519,-1533
