Leader,From Lap,To Lap,# Of Laps
William Byron,1,6,6
Kevin Harvick,7,8,2
William Byron,9,9,1
Denny Hamlin,10,13,4
William Byron,14,15,2
Denny Hamlin,16,16,1
William Byron,17,17,1
Austin Dillon,18,19,2
Chase Elliott,20,41,22
Joey Logano,42,43,2
Chase Elliott,44,52,9
Ryan Newman,53,53,1
Chase Elliott,54,55,2
"Martin Truex, Jr.",56,56,1
Corey LaJoie,57,57,1
"Martin Truex, Jr.",58,69,12
Christopher Bell,70,76,7
Joey Logano,77,94,18
Ryan Blaney,95,96,2
Joey Logano,97,101,5
Austin Dillon,102,102,1
Ryan Newman,103,103,1
William Byron,104,105,2
Denny Hamlin,106,107,2
Kevin Harvick,108,108,1
Chase Elliott,109,109,1
Kevin Harvick,110,110,1
Joey Logano,111,111,1
Ross Chastain,112,113,2
Ryan Blaney,114,116,3
Ross Chastain,117,123,7
Bubba Wallace,124,124,1
Ross Chastain,125,126,2
Bubba Wallace,127,128,2
Ross Chastain,129,129,1
Bubba Wallace,130,130,1
Ross Chastain,131,132,2
Bubba Wallace,133,136,4
Kyle Busch,137,141,5
Christopher Bell,142,142,1
Joey Logano,143,153,11
Chris Buescher,154,154,1
Chase Elliott,155,156,2
Chris Buescher,157,163,7
Ryan Blaney,164,165,2
