Leader,From Lap,To Lap,# Of Laps
Kyle Busch,1,10,10
Kyle Larson,11,11,1
Kyle Busch,12,15,4
Kyle Larson,16,16,1
Kyle Busch,17,20,4
Kyle Larson,21,22,2
Ryan Blaney,23,23,1
Kyle Larson,24,24,1
Ryan Blaney,25,33,9
Kyle Busch,34,40,7
Michael McDowell,41,41,1
Kyle Busch,42,43,2
Michael McDowell,44,50,7
Ryan Blaney,51,51,1
Michael McDowell,52,63,12
Todd Gilliland,64,98,35
Joey Logano,99,102,4
Todd Gilliland,103,103,1
Joey Logano,104,112,9
Chris Buescher,113,113,1
Joey Logano,114,127,14
Kyle Larson,128,131,4
Brad Keselowski,132,132,1
Kyle Larson,133,134,2
Ricky Stenhouse Jr,135,135,1
Bubba Wallace,136,138,3
Austin Cindric,139,165,27
Todd Gilliland,166,169,4
Brad Keselowski,170,170,1
Todd Gilliland,171,182,12
Martin Truex Jr,183,184,2
Todd Gilliland,185,186,2
Martin Truex Jr,187,188,2
Todd Gilliland,189,192,4
Kyle Larson,193,198,6
Martin Truex Jr,199,201,3
Michael McDowell,202,206,5
Martin Truex Jr,207,207,1
Michael McDowell,208,209,2
Martin Truex Jr,210,210,1
Austin Cindric,211,215,5
Denny Hamlin,216,230,15
Ryan Blaney,231,232,2
Kyle Busch,233,233,1
Ryan Blaney,234,247,14
Daniel Suarez,248,255,8
Ryan Blaney,256,259,4
Daniel Suarez,260,260,1
