Rank,Driver,Points,Diff
1,Kyle Busch,77,
2,William Byron,76,-1
2,Austin Cindric,76,-1
4,Bubba Wallace,74,-3
5,Ryan Blaney,69,-8
6,Chase Elliott,65,-12
7,Daniel Suarez,64,-13
8,Ross Chastain,62,-15
9,Alex Bowman,60,-17
9,Martin Truex Jr,60,-17
11,Kyle Larson,58,-19
12,Corey LaJoie,57,-20
13,John H. Nemechek,53,-24
14,Ty Gibbs,50,-27
15,Chris Buescher,49,-28
16,Christopher Bell,47,-30
16,Erik Jones,47,-30
18,Ricky Stenhouse Jr,44,-33
18,Denny Hamlin,44,-33
20,Michael McDowell,40,-37
20,Daniel Hemric,40,-37
