Rank,Driver,Wins,Points
1,Kyle Busch,0,77
2,Austin Cindric,0,76
2,William Byron,1,76
4,Bubba Wallace,0,74
5,Ryan Blaney,0,69
6,Chase Elliott,0,65
7,Daniel Suarez,1,64
8,Ross Chastain,0,62
9,Alex Bowman,0,60
9,Martin Truex Jr,0,60
11,Kyle Larson,0,58
12,Corey LaJoie,0,57
13,John H. Nemechek,0,53
14,Ty Gibbs,0,50
15,Chris Buescher,0,49
16,Erik Jones,0,47
