Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,2,2,,
yellow_flag,3,10,8,"#3,9,10,16,20,21,23,31,42,43,45,48,51,54,77,99 accident turn 1",none
green_flag,11,25,15,,
yellow_flag,26,31,6,#17 spun turn 4,#77
green_flag,32,53,22,,
yellow_flag,54,59,6,"#8,11 accident frontstretch",#3
green_flag,60,61,2,,
yellow_flag,62,68,7,end of stage 1,#3
green_flag,69,160,92,,
yellow_flag,161,170,10,"#11,17,22 accident 2 / stage 2 conclusion",#34
green_flag,171,175,5,,
yellow_flag,176,180,5,#15 spun turn 1,#8
green_flag,181,199,19,,
yellow_flag,200,205,6,"#1,9 accident turn 3",#23
green_flag,206,219,14,,
yellow_flag,220,225,6,"#5,6,7 accident turn 4",#4
green_flag,226,240,15,,
yellow_flag,241,245,5,"#11,14 accident 3 [red flag: 00:11:25]",#24
green_flag,246,249,4,,
yellow_flag,250,255,6,"#4,9,77 accident backstretch",#11
green_flag,256,260,5,,
Percent of race run under caution: 25.0%             Average green flag run: 17.7 laps
