Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,23,99,Daniel Suarez,Freeway Insurance   (Trackhouse Racing),Chevrolet,260,running,9,47,5
2,6,12,Ryan Blaney,BodyArmor Zero Sugar   (Roger Penske),Ford,260,running,31,52,0
3,3,8,Kyle Busch,Cheddar's Scratch Kitchen   (Richard Childress),Chevrolet,260,running,28,40,0
4,8,2,Austin Cindric,MenardsKnauf Insulation   (Roger Penske),Ford,260,running,32,43,1
5,18,23,Bubba Wallace,MoneyLion   (23XI Racing),Toyota,260,running,3,35,0
6,27,47,Ricky Stenhouse Jr,Kroger/Blue Buffalo   (JTG-Daugherty Racing),Chevrolet,260,running,1,35,0
7,21,1,Ross Chastain,Moose Fraternity   (Trackhouse Racing),Chevrolet,260,running,0,38,0
8,1,34,Michael McDowell,Benebone   (Bob Jenkins),Ford,260,running,27,39,1
9,7,17,Chris Buescher,BuildSubmarines.com   (Jack Roush),Ford,260,running,1,28,0
10,25,54,Ty Gibbs,Monster Energy   (Joe Gibbs),Toyota,260,running,0,27,0
11,16,21,Harrison Burton,Motorcraft  Quick Lane   (Wood Brothers),Ford,260,running,0,29,0
12,12,19,Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,260,running,9,36,0
13,32,7,Corey LaJoie,Celsius   (Spire Motorsports),Chevrolet,260,running,0,24,0
14,33,15,Kaz Grala,N29 Capital Partners   (Rick Ware),Ford,260,running,0,23,0
15,28,9,Chase Elliott,Hooters   (Rick Hendrick),Chevrolet,260,running,0,23,0
16,20,41,Ryan Preece,HaasTooling.com   (Stewart Haas Racing),Ford,260,running,0,-14,0
17,11,24,William Byron,Raptor High Heat   (Rick Hendrick),Chevrolet,260,running,0,22,0
18,26,31,Daniel Hemric,Cirkul   (Matthew Kaulig),Chevrolet,260,running,0,19,0
19,35,77,Carson Hocevar,Premier Security   (Spire Motorsports),Chevrolet,260,running,0,18,0
20,31,51,Justin Haley,Grady Medical Centers   (Rick Ware),Ford,260,running,0,17,0
21,34,42,John H. Nemechek,Family Dollar   (Legacy Motor Club),Toyota,260,running,0,16,0
22,10,3,Austin Dillon,BREZTRI   (Richard Childress),Chevrolet,260,running,0,15,0
23,13,11,Denny Hamlin,FedEx   (Joe Gibbs),Toyota,259,running,15,14,0
24,36,78,B.J. McLeod,Live Fast Motorsports   (B.J. McLeod),Chevrolet,257,running,0,0,0
25,37,43,Erik Jones,AdventHealth   (Legacy Motor Club),Toyota,256,running,0,12,0
26,4,38,Todd Gilliland,Georgia Peanuts   (Bob Jenkins),Ford,256,running,58,17,0
27,17,48,Alex Bowman,Ally   (Rick Hendrick),Chevrolet,255,running,0,10,0
28,2,22,Joey Logano,Shell Pennzoil   (Roger Penske),Ford,252,running,27,9,0
29,14,4,Josh Berry,Harrison's   (Stewart Haas Racing),Ford,250,crash,0,8,0
30,19,45,Tyler Reddick,Xfinity Mobile   (23XI Racing),Toyota,243,running,0,7,0
31,9,14,Chase Briscoe,HighPoint.com   (Stewart Haas Racing),Ford,239,crash,0,8,0
32,5,5,Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,222,crash,17,21,0
33,24,6,Brad Keselowski,King's Hawaiian   (Jack Roush),Ford,218,crash,2,8,0
34,22,20,Christopher Bell,DEWALT   (Joe Gibbs),Toyota,148,crash,0,3,0
35,29,71,Zane Smith,City of Refuge   (Spire Motorsports),Chevrolet,75,dvp,0,0,0
36,15,10,Noah Gragson,Black Rifle Coffee / Ranger Boats   (Stewart Haas Racing),Ford,66,crash,0,-34,0
37,30,16,Josh Williams,Alloy Employer Services   (Matthew Kaulig),Chevrolet,2,crash,0,0,0
