Rank,Driver,Wins,Points
1,Kyle Busch,4,659
2,Martin Truex Jr,4,581
3,Brad Keselowski,3,610
4,Joey Logano,2,677
5,Denny Hamlin,2,574
6,Chase Elliott,1,570
7,Alex Bowman,1,509
8,Kevin Harvick,0,610
9,Kurt Busch,0,537
10,Ryan Blaney,0,499
11,Aric Almirola,0,482
12,William Byron,0,455
13,Kyle Larson,0,451
14,Jimmie Johnson,0,436
15,Daniel Suarez,0,434
16,Clint Bowyer,0,431
