Leader,From Lap,To Lap,# Of Laps
Austin Dillon,1,7,7
Jimmie Johnson,8,17,10
Austin Dillon,18,19,2
Kevin Harvick,20,72,53
Denny Hamlin,73,73,1
Kyle Larson,74,74,1
Daniel Suarez,75,75,1
Erik Jones,76,76,1
Ryan Newman,77,77,1
Michael McDowell,78,78,1
Denny Hamlin,79,82,4
Kevin Harvick,83,98,16
William Byron,99,104,6
Kevin Harvick,105,105,1
William Byron,106,108,3
Kevin Harvick,109,166,58
Kyle Larson,167,170,4
Alex Bowman,171,218,48
Ryan Blaney,219,219,1
"Ricky Stenhouse, Jr.",220,221,2
Kevin Harvick,222,225,4
Alex Bowman,226,259,34
Kyle Larson,260,261,2
Alex Bowman,262,267,6
