Rank,Driver,Points,Diff
1,Joey Logano,677,
2,Kyle Busch,659,-18
3,Brad Keselowski,610,-67
3,Kevin Harvick,610,-67
5,Martin Truex Jr,581,-96
6,Denny Hamlin,574,-103
7,Chase Elliott,570,-107
8,Kurt Busch,537,-140
9,Alex Bowman,509,-168
10,Ryan Blaney,499,-178
11,Aric Almirola,482,-195
12,William Byron,455,-222
13,Kyle Larson,451,-226
14,Jimmie Johnson,436,-241
15,Daniel Suarez,434,-243
16,Clint Bowyer,431,-246
17,Erik Jones,416,-261
18,Ryan Newman,411,-266
19,Ricky Stenhouse Jr,373,-304
20,Paul Menard,369,-308
21,Austin Dillon,352,-325
