Leader,From Lap,To Lap,# Of Laps
Kyle Busch,1,1,1
Alex Bowman,2,9,8
William Byron,10,33,24
Ross Chastain,34,49,16
William Byron,50,123,74
Kyle Larson,124,160,37
Denny Hamlin,161,166,6
Kyle Larson,167,196,30
William Byron,197,206,10
Christopher Bell,207,227,21
Denny Hamlin,228,234,7
Christopher Bell,235,235,1
Denny Hamlin,236,293,58
Bubba Wallace,294,294,1
Martin Truex Jr,295,307,13
Kyle Larson,308,308,1
Martin Truex Jr,309,351,43
Christopher Bell,352,355,4
Brad Keselowski,356,356,1
Josh Berry,357,366,10
William Byron,367,375,9
Kyle Larson,376,400,25
