Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,9,5,Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,400,running,93,52,5
2,30,9,Josh Berry,NAPA Auto Parts   (Rick Hendrick),Chevrolet,400,running,10,0,0
3,4,1,Ross Chastain,Jockey   (Trackhouse Racing),Chevrolet,400,running,16,48,0
4,21,20,Christopher Bell,Rheem   (Joe Gibbs),Toyota,400,running,26,45,0
5,10,4,Kevin Harvick,Gearwrench   (Stewart Haas Racing),Ford,400,running,0,41,0
6,15,34,Michael McDowell,Love's Travel Stops   (Bob Jenkins),Ford,400,running,0,31,0
7,18,22,Joey Logano,Shell Pennzoil   (Roger Penske),Ford,400,running,0,36,0
8,1,48,Alex Bowman,Ally   (Rick Hendrick),Chevrolet,400,running,8,-23,-5
9,14,54,Ty Gibbs,Monster Energy   (Joe Gibbs),Toyota,400,running,0,29,0
10,24,6,Brad Keselowski,Solomon Plumbing   (Jack Roush),Ford,400,running,1,34,0
11,12,19,Martin Truex Jr,Auto-Owners Insurance   (Joe Gibbs),Toyota,400,running,56,33,0
12,19,14,Chase Briscoe,Mahindra Tractors   (Stewart Haas Racing),Ford,400,running,0,26,0
13,32,10,Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,400,running,0,24,0
14,2,8,Kyle Busch,3CHI   (Richard Childress),Chevrolet,400,running,1,23,0
15,13,38,Todd Gilliland,Quincy Compressor   (Bob Jenkins),Ford,400,running,0,22,0
16,5,45,Tyler Reddick,SiriusXM Radio   (23XI Racing),Toyota,400,running,0,26,0
17,37,13,Chandler Smith,"Quick Tie Products, Inc.   (Matthew Kaulig)",Chevrolet,400,running,0,0,0
18,33,41,Ryan Preece,United Rentals   (Stewart Haas Racing),Ford,400,running,0,19,0
19,26,21,Harrison Burton,Menards  Dutch Boy   (Wood Brothers),Ford,400,running,0,18,0
20,11,11,Denny Hamlin,Shingrix   (Joe Gibbs),Toyota,400,running,71,27,1
21,16,7,Corey LaJoie,BlueGreen Vacations   (Spire Motorsports),Chevrolet,400,running,0,16,0
22,28,23,Bubba Wallace,Leidos   (23XI Racing),Toyota,400,running,1,15,0
23,20,99,Daniel Suarez,Quaker State   (Trackhouse Racing),Chevrolet,400,running,0,14,0
24,3,24,William Byron,RaptorTough.com   (Rick Hendrick),Chevrolet,400,running,117,-29,-4
25,27,3,Austin Dillon,BREZTRI   (Richard Childress),Chevrolet,399,running,0,12,0
26,17,12,Ryan Blaney,Menards  Moen   (Roger Penske),Ford,399,running,0,11,0
27,25,16,A.J. Allmendinger,Action Industries   (Matthew Kaulig),Chevrolet,399,running,0,10,0
28,6,2,Austin Cindric,Discount Tire   (Roger Penske),Ford,399,running,0,9,0
29,29,31,Justin Haley,LeafFilter Gutter Protection   (Matthew Kaulig),Chevrolet,399,running,0,8,0
30,7,17,Chris Buescher,Castrol Edge   (Jack Roush),Ford,398,running,0,7,0
31,22,43,Erik Jones,U.S. Air Force   (Legacy Motor Club),Chevrolet,398,running,0,6,0
32,36,77,Ty Dillon,Nations Guard   (Spire Motorsports),Chevrolet,398,running,0,5,0
33,35,78,Anthony Alfredo,Dude Wipes   (B.J. McLeod),Chevrolet,396,running,0,0,0
34,31,51,Cody Ware,Biohaven/Jacob Co.   (Rick Ware),Ford,395,running,0,3,0
35,8,47,Ricky Stenhouse Jr,Kroger/Kraft Mac & Cheese   (JTG-Daugherty Racing),Chevrolet,384,running,0,2,0
36,34,15,J.J. Yeley,CW & Sons Infrastructure   (Rick Ware),Ford,383,running,0,0,0
37,23,42,Noah Gragson,Sunseeker Resort   (Legacy Motor Club),Chevrolet,303,crash,0,1,0
