Rank,Driver,Points,Diff
1,Ross Chastain,259,
2,Christopher Bell,229,-30
3,Kevin Harvick,227,-32
4,Joey Logano,222,-37
4,Kyle Larson,222,-37
6,Kyle Busch,215,-44
7,Alex Bowman,203,-56
8,Martin Truex Jr,198,-61
9,Brad Keselowski,196,-63
10,Denny Hamlin,189,-70
11,Ryan Blaney,188,-71
12,Tyler Reddick,187,-72
13,Austin Cindric,175,-84
14,William Byron,167,-92
15,Chris Buescher,164,-95
16,Ricky Stenhouse Jr,161,-98
17,Daniel Suarez,158,-101
18,Michael McDowell,156,-103
19,Corey LaJoie,155,-104
20,Ty Gibbs,147,-112
21,Chase Briscoe,122,-137
