Rank,Driver,Wins,Points
1,Joey Logano,1,5040
2,Ross Chastain,0,5034
3,Christopher Bell,0,5027
4,Denny Hamlin,0,2379
5,William Byron,2,2378
6,Ryan Blaney,0,2354
6,Kyle Larson,1,2354
8,Chase Briscoe,0,2292
9,Daniel Suarez,0,2272
10,Austin Dillon,0,2228
11,Austin Cindric,0,2226
12,Kyle Busch,1,2224
13,Tyler Reddick,1,2215
14,Kevin Harvick,0,2126
15,Alex Bowman,0,2107
16,Martin Truex Jr,0,1037
