Leader,From Lap,To Lap,# Of Laps
Kevin Harvick,1,4,4
Joey Logano,5,11,7
Kevin Harvick,12,66,55
Chase Elliott,67,82,16
"Martin Truex, Jr.",83,83,1
Chase Elliott,84,87,4
Kevin Harvick,88,102,15
Chase Elliott,103,122,20
"Ricky Stenhouse, Jr.",123,126,4
Austin Dillon,127,127,1
"Ricky Stenhouse, Jr.",128,145,18
Chase Elliott,146,162,17
Ryan Blaney,163,166,4
Joey Logano,167,171,5
Kevin Harvick,172,172,1
Joey Logano,173,181,9
Ryan Blaney,182,183,2
Kevin Harvick,184,200,17
Ryan Blaney,201,204,4
Chase Elliott,205,217,13
Ryan Blaney,218,218,1
"Ricky Stenhouse, Jr.",219,226,8
Joey Logano,227,254,28
Ryan Blaney,255,262,8
Joey Logano,263,267,5
