Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,5,22,Joey Logano,Pennzoil   (Roger Penske),Ford,267,running,54,52,5
2,19,21,Matt DiBenedetto,Motorcraft / Quick Lane   (Wood Brothers),Ford,267,running,0,35,0
3,26,47,Ricky Stenhouse Jr,Kroger / Cheerios / Healthy Choice   (JTG-Daugherty Racing),Chevrolet,267,running,30,34,0
4,21,3,Austin Dillon,Bass Pro Shops / Tracker Off Road   (Richard Childress),Chevrolet,267,running,1,33,0
5,18,48,Jimmie Johnson,Ally   (Rick Hendrick),Chevrolet,267,running,0,38,0
6,27,43,Bubba Wallace,Coca-Cola Energy   (Richard Petty Motorsports),Chevrolet,267,running,0,31,0
7,8,2,Brad Keselowski,Discount Tire   (Roger Penske),Ford,267,running,0,30,0
8,3,4,Kevin Harvick,Busch Light   (Stewart Haas Racing),Ford,267,running,92,42,0
9,6,42,Kyle Larson,Credit One Bank   (Chip Ganassi),Chevrolet,267,running,0,35,0
10,24,13,Ty Dillon,GEICO   (Germain Racing),Chevrolet,267,running,0,27,0
11,7,12,Ryan Blaney,Menards / Pennzoil   (Roger Penske),Ford,267,running,19,42,0
12,9,14,Clint Bowyer,Blue DEF   (Stewart Haas Racing),Ford,267,running,0,25,0
13,12,88,Alex Bowman,Llumar   (Rick Hendrick),Chevrolet,267,running,0,29,0
14,23,17,Chris Buescher,Fastenal / 3M   (Jack Roush),Ford,267,running,0,23,0
15,1,18,Kyle Busch,Snickers White   (Joe Gibbs),Toyota,267,running,0,13,0
16,30,32,Corey LaJoie,Schluter Systems   (Archie St. Hilaire),Ford,267,running,0,21,0
17,4,11,Denny Hamlin,FedEx Ground   (Joe Gibbs),Toyota,267,running,0,10,0
18,25,8,Tyler Reddick,Tame the Beast   (Richard Childress),Chevrolet,267,running,0,19,0
19,17,41,Cole Custer,Production Alliance Group / Haas   (Stewart Haas Racing),Ford,267,running,0,18,0
20,2,19,Martin Truex Jr,Bass Pro Shops / Tracker Boats & ATVs   (Joe Gibbs),Toyota,267,running,1,34,0
21,14,10,Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,267,running,0,16,0
22,11,24,William Byron,Axalta   (Rick Hendrick),Chevrolet,267,running,0,27,0
23,16,20,Erik Jones,Irwin SPEEDBOR   (Joe Gibbs),Toyota,267,running,0,14,0
24,29,38,John H. Nemechek,Berry's Bullets   (Bob Jenkins),Ford,267,running,0,13,0
25,13,1,Kurt Busch,Monster Energy   (Chip Ganassi),Chevrolet,266,running,0,12,0
26,10,9,Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,266,running,70,31,2
27,15,6,Ross Chastain,Wyndham Rewards   (Jack Roush),Ford,265,running,0,0,0
28,37,52,J.J. Yeley,Jacob Companies   (Rick Ware),Ford,264,running,0,0,0
29,33,15,Brennan Poole,Goettl Air Conditioning & Plumbing   (Jay Robinson),Chevrolet,264,running,0,8,0
30,35,96,Daniel Suarez,Toyota Certified Used Vehicles   (Gaunt Brothers),Toyota,263,running,0,7,0
31,31,53,Joey Gase,Nevada Donor Network   (Rick Ware),Ford,258,running,0,0,0
32,32,00,Quin Houff,Victory Weekend   (StarCom Racing),Chevrolet,258,running,0,5,0
33,22,95,Christopher Bell,Rheem / Procore / RTP   (Leavine Family Racing),Toyota,257,running,0,-6,0
34,36,77,Reed Sorenson,Spire Motorsports   (Spire Motorsports),Chevrolet,253,running,0,3,0
35,34,51,Garrett Smithley,Rick Ware Racing   (Rick Ware),Chevrolet,252,running,0,2,0
36,28,34,Michael McDowell,Love's Travel Stops / Speedco   (Bob Jenkins),Ford,245,running,0,1,0
37,20,37,Ryan Preece,Natural Light Seltzer   (JTG-Daugherty Racing),Chevrolet,222,engine,0,1,0
38,38,66,Timmy Hill,Manscaped / LasVegas.net   (Carl Long),Toyota,175,rear end,0,0,0
