Rank,Driver,Points,Diff
1,Ryan Blaney,85,
2,Joey Logano,82,-3
3,Kevin Harvick,81,-4
4,Kyle Larson,70,-15
5,Ricky Stenhouse Jr,66,-19
6,Chase Elliott,65,-20
7,Austin Dillon,63,-22
8,Chris Buescher,61,-24
9,Denny Hamlin,60,-25
9,Matt DiBenedetto,60,-25
9,Jimmie Johnson,60,-25
12,Bubba Wallace,59,-26
13,Clint Bowyer,56,-29
14,Alex Bowman,51,-34
15,Corey LaJoie,50,-35
15,Martin Truex Jr,50,-35
17,Aric Almirola,48,-37
18,John H. Nemechek,39,-46
19,Brad Keselowski,38,-47
19,Erik Jones,38,-47
19,William Byron,38,-47
