Rank,Driver,Points,Diff
1,Martin Truex Jr,220,
2,Ty Gibbs,215,-5
3,Ryan Blaney,211,-9
4,Denny Hamlin,206,-14
5,Kyle Larson,205,-15
6,William Byron,183,-37
6,Christopher Bell,183,-37
8,Ross Chastain,182,-38
9,Chase Elliott,173,-47
10,Tyler Reddick,171,-49
11,Alex Bowman,165,-55
12,Chris Buescher,153,-67
13,Kyle Busch,150,-70
14,Daniel Suarez,148,-72
15,John H. Nemechek,144,-76
16,Brad Keselowski,134,-86
17,Chase Briscoe,131,-89
18,Bubba Wallace,129,-91
19,Austin Cindric,119,-101
19,Michael McDowell,119,-101
21,Erik Jones,106,-114
