Rank,Driver,Points,Diff
1,Chase Elliott,2040,
2,Joey Logano,2025,-15
3,Ross Chastain,2020,-20
4,Kyle Larson,2019,-21
5,William Byron,2014,-26
6,Denny Hamlin,2013,-27
6,Ryan Blaney,2013,-27
8,Tyler Reddick,2012,-28
8,Kevin Harvick,2012,-28
10,Christopher Bell,2011,-29
11,Kyle Busch,2010,-30
12,Chase Briscoe,2009,-31
13,Daniel Suarez,2007,-33
14,Austin Cindric,2006,-34
14,Alex Bowman,2006,-34
16,Austin Dillon,2005,-35
17,Martin Truex Jr,798,-1242
18,Erik Jones,589,-1451
19,Aric Almirola,576,-1464
20,Bubba Wallace,555,-1485
21,Chris Buescher,522,-1518
