Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,31,31,,
yellow_flag,32,34,3,"#4,6.11,12,20,43 accident backstretch",#2
green_flag,35,36,2,,
yellow_flag,37,40,4,end of stage 1,#12
green_flag,41,96,56,,
yellow_flag,97,100,4,end of stage 2,#45
green_flag,101,102,2,,
yellow_flag,103,107,5,"#1,7,8,17,19,23,24,34 accident backstretch",#45
green_flag,108,125,18,,
yellow_flag,126,130,5,"#3,10,14,23,41,48 accident frontstretch",#45
green_flag,131,131,1,,
yellow_flag,132,134,3,"#22,43 accident frontstretch",#3
green_flag,135,138,4,,
yellow_flag,139,144,6,"#8,9,10,11,16,17,18,21,31,38,42,47,99 accident 1 [red flag: 3:19:57]",none
green_flag,145,160,16,,
Percent of race run under caution: 18.8%             Average green flag run: 16.3 laps
