Leader,From Lap,To Lap,# Of Laps
Chase Elliott,1,21,21
Erik Jones,22,23,2
Chase Elliott,24,26,3
Erik Jones,27,30,4
Chase Elliott,31,34,4
Joey Logano,35,36,2
Corey LaJoie,37,40,4
Bubba Wallace,41,42,2
Erik Jones,43,43,1
Corey LaJoie,44,45,2
Erik Jones,46,50,5
Chris Buescher,51,51,1
Erik Jones,52,58,7
William Byron,59,59,1
Erik Jones,60,62,3
Alex Bowman,63,63,1
Denny Hamlin,64,76,13
Joey Logano,77,78,2
B.J. McLeod,79,80,2
Chase Elliott,81,81,1
Tyler Reddick,82,85,4
Chase Elliott,86,87,2
Kyle Busch,88,89,2
Tyler Reddick,90,91,2
Kyle Busch,92,96,5
"Martin Truex, Jr.",97,97,1
Ty Dillon,98,98,1
Michael McDowell,99,100,2
Joey Logano,101,106,6
Tyler Reddick,107,108,2
Joey Logano,109,109,1
Tyler Reddick,110,114,5
Alex Bowman,115,124,10
Joey Logano,125,127,3
Justin Haley,128,135,8
Daniel Suarez,136,137,2
Austin Dillon,138,144,7
Austin Cindric,145,157,13
Austin Dillon,158,160,3
