Rank,Driver,Points,Diff
1,Kyle Larson,113,
2,Martin Truex Jr,107,-6
3,Joey Logano,104,-9
4,Austin Cindric,103,-10
5,Kyle Busch,102,-11
6,Aric Almirola,97,-16
7,Chase Elliott,88,-25
8,Alex Bowman,80,-33
9,Bubba Wallace,78,-35
9,Austin Dillon,78,-35
11,Kurt Busch,77,-36
11,Brad Keselowski,77,-36
13,Ryan Blaney,75,-38
14,Chase Briscoe,74,-39
14,Erik Jones,74,-39
16,Kevin Harvick,69,-44
16,Ricky Stenhouse Jr,69,-44
18,Tyler Reddick,68,-45
19,Ty Dillon,63,-50
20,Ross Chastain,62,-51
20,William Byron,62,-51
