Leader,From Lap,To Lap,# Of Laps
Christopher Bell,1,32,32
Ryan Blaney,33,42,10
Alex Bowman,43,49,7
Denny Hamlin,50,65,16
Kurt Busch,66,69,4
William Byron,70,77,8
Alex Bowman,78,83,6
Michael McDowell,84,87,4
Brad Keselowski,88,90,3
Denny Hamlin,91,105,15
Kyle Busch,106,112,7
Ross Chastain,113,136,24
Greg Biffle,137,137,1
Kyle Larson,138,159,22
Ross Chastain,160,217,58
Kyle Larson,218,218,1
"Ricky Stenhouse, Jr.",219,222,4
Ty Dillon,223,223,1
Kyle Busch,224,225,2
Ross Chastain,226,226,1
Kyle Busch,227,266,40
"Martin Truex, Jr.",267,267,1
Kyle Larson,268,271,4
Alex Bowman,272,274,3
