Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,104,104,,
yellow_flag,105,111,7,"#3,48,21,7 accident backstretch",#99
green_flag,112,131,20,,
yellow_flag,132,140,9,end of stage 1,#15
green_flag,141,216,76,,
yellow_flag,217,225,9,"#20,51 accident turn 4",#45
green_flag,226,261,36,,
yellow_flag,262,270,9,end of stage 2,#77
green_flag,271,273,3,,
yellow_flag,274,284,11,"#22,54,6,1,38,2,34,99 accident turn 3",#47
green_flag,285,303,19,,
yellow_flag,304,310,7,"#42,54 accident turn 2",#21
green_flag,311,323,13,,
yellow_flag,324,332,9,#34 spun turn 2,#77
green_flag,333,500,168,,
Percent of race run under caution: 12.2%             Average green flag run: 54.9 laps
