driver_name,start_pos,mid_race_pos,finish_pos,highest_pos,lowest_pos,avg_pos,pass_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,total_laps,driver_rating
Ryan Blaney,11,1,1,1,20,4,21,42,21,41,97.6,86,499,99.8,145,29.0,500,133.5
Aric Almirola,12,11,2,1,19,9,2,24,22,21,87.5,25,492,98.4,66,13.2,500,108.6
Denny Hamlin,4,2,3,1,12,3,9,39,30,38,97.4,58,500,100.0,156,31.2,500,131.1
Chase Briscoe,3,3,4,1,14,6,2,35,33,35,100.0,20,500,100.0,0,0.0,500,113.0
Joey Logano,15,4,5,3,19,9,16,44,28,35,79.5,8,483,96.6,0,0.0,500,101.3
Kyle Larson,5,17,6,5,24,10,-5,45,50,20,44.4,10,355,71.0,0,0.0,500,95.1
Christopher Bell,7,10,7,5,22,8,12,37,25,37,100.0,18,498,99.6,0,0.0,500,106.9
Chris Buescher,18,14,8,5,24,13,3,56,53,31,55.4,3,337,67.4,0,0.0,500,79.6
Austin Cindric,21,12,9,4,24,14,15,48,33,33,68.8,10,353,70.6,0,0.0,500,77.7
Todd Gilliland,17,8,10,3,21,13,-7,50,57,31,62.0,3,352,70.4,0,0.0,500,78.3
Bubba Wallace,6,24,11,2,29,14,1,42,41,30,71.4,7,254,50.8,0,0.0,500,76.4
Martin Truex Jr,1,22,12,1,27,12,17,45,28,11,24.4,29,255,51.0,47,9.4,500,90.3
William Byron,16,20,13,5,25,17,11,60,49,16,26.7,2,176,35.3,0,0.0,499,66.4
Ross Chastain,13,16,14,8,24,17,8,50,42,17,34.0,5,105,21.0,0,0.0,499,67.9
Harrison Burton,28,31,15,15,36,25,12,32,20,1,3.1,5,11,2.2,0,0.0,499,56.4
Kevin Harvick,8,9,16,4,24,13,2,36,34,16,44.4,12,325,65.1,0,0.0,499,80.1
Chase Elliott,14,15,17,1,23,9,-22,37,59,19,51.4,28,442,88.6,83,16.6,499,95.0
Ty Gibbs,2,6,18,2,26,13,11,34,23,16,47.1,24,272,54.5,0,0.0,499,82.3
Ricky Stenhouse Jr,20,27,19,8,34,21,-10,51,61,6,11.8,0,146,29.3,0,0.0,499,52.2
Ryan Preece,9,7,20,3,23,11,-1,42,43,31,73.8,15,416,83.4,0,0.0,499,79.6
Erik Jones,29,23,21,3,31,19,-16,59,75,3,5.1,12,158,31.7,0,0.0,499,59.3
Corey LaJoie,30,18,22,1,34,18,-15,60,75,6,10.0,13,161,32.3,3,0.6,499,60.4
Austin Dillon,26,25,23,14,29,23,3,43,40,0,0.0,0,2,0.4,0,0.0,499,47.7
Ty Dillon,34,26,24,17,34,26,1,35,34,0,0.0,0,0,0.0,0,0.0,499,42.7
Michael McDowell,23,19,25,4,29,20,-32,50,82,6,12.0,18,32,6.4,0,0.0,499,57.2
Tyler Reddick,19,21,26,5,26,19,-13,53,66,5,9.4,4,60,12.0,0,0.0,498,54.0
Kyle Busch,31,32,27,24,36,29,8,32,24,0,0.0,3,0,0.0,0,0.0,498,41.3
A.J. Allmendinger,25,30,28,21,31,29,-10,17,27,0,0.0,0,0,0.0,0,0.0,498,37.3
Ryan Newman,33,33,29,23,34,31,1,16,15,0,0.0,2,0,0.0,0,0.0,497,32.8
Justin Haley,24,29,30,20,33,30,-13,15,28,0,0.0,0,0,0.0,0,0.0,497,33.0
Carson Hocevar,32,35,31,29,35,33,-7,12,19,0,0.0,0,0,0.0,0,0.0,496,31.0
Alex Bowman,22,34,32,22,36,31,-3,10,13,0,0.0,0,0,0.0,0,0.0,496,37.3
Brad Keselowski,10,5,33,4,33,20,-2,15,17,15,100.0,9,271,88.6,0,0.0,306,76.8
Daniel Suarez,27,13,34,8,34,26,10,44,34,11,25.0,2,44,16.1,0,0.0,274,51.2
J.J. Yeley,35,28,35,13,36,33,-2,9,11,0,0.0,0,1,0.4,0,0.0,271,25.3
B.J. McLeod,36,36,36,32,36,36,-3,7,10,0,0.0,0,0,0.0,0,0.0,147,23.3
