Rank,Driver,Points,Diff
1,Christopher Bell,5000,
1,Ryan Blaney,5000,0
1,Kyle Larson,5000,0
1,William Byron,5000,0
5,Denny Hamlin,2354,-2646
6,Tyler Reddick,2329,-2671
7,Brad Keselowski,2278,-2722
8,Chris Buescher,2263,-2737
9,Bubba Wallace,2242,-2758
9,Ross Chastain,2242,-2758
11,Joey Logano,2239,-2761
12,Martin Truex Jr,2228,-2772
13,Kyle Busch,2220,-2780
14,Kevin Harvick,2194,-2806
15,Michael McDowell,2157,-2843
16,Ricky Stenhouse Jr,2154,-2846
17,Chase Elliott,799,-4201
18,Ty Gibbs,755,-4245
19,Daniel Suarez,730,-4270
20,A.J. Allmendinger,687,-4313
