Rank,Driver,Points,Diff
1,Denny Hamlin,492,
2,Martin Truex Jr,487,-5
3,Kyle Larson,486,-6
4,Chase Elliott,475,-17
5,William Byron,461,-31
6,Tyler Reddick,437,-55
7,Ty Gibbs,435,-57
8,Alex Bowman,408,-84
9,Brad Keselowski,397,-95
10,Ross Chastain,392,-100
11,Christopher Bell,387,-105
12,Ryan Blaney,376,-116
13,Bubba Wallace,355,-137
14,Kyle Busch,346,-146
15,Chris Buescher,345,-147
16,Chase Briscoe,334,-158
17,Joey Logano,315,-177
18,Daniel Suarez,276,-216
19,Josh Berry,263,-229
20,Austin Cindric,249,-243
21,Noah Gragson,240,-252
