Rank,Driver,Wins,Points
1,Denny Hamlin,3,492
2,Martin Truex Jr,0,487
3,Chase Elliott,1,475
4,William Byron,3,461
5,Tyler Reddick,1,437
6,Ty Gibbs,0,435
7,Alex Bowman,0,408
8,Brad Keselowski,1,397
9,Ross Chastain,0,392
10,Christopher Bell,2,387
11,Ryan Blaney,0,376
12,Bubba Wallace,0,355
13,Kyle Busch,0,346
14,Chris Buescher,0,345
15,Chase Briscoe,0,334
16,Joey Logano,0,315
