Leader,From Lap,To Lap,# Of Laps
Ty Gibbs,1,42,42
Michael McDowell,43,48,6
Shane Van Gisbergen,49,50,2
Ty Gibbs,51,71,21
William Byron,72,89,18
Ty Gibbs,90,93,4
William Byron,94,103,10
Ty Gibbs,104,110,7
Ross Chastain,111,120,10
Christopher Bell,121,146,26
Josh Berry,147,153,7
Christopher Bell,154,159,6
Martin Truex Jr,160,167,8
Chase Elliott,168,169,2
William Byron,170,188,19
Christopher Bell,189,201,13
William Byron,202,202,1
Christopher Bell,203,206,4
William Byron,207,207,1
Christopher Bell,208,230,23
Brad Keselowski,231,231,1
Christopher Bell,232,249,18
