Leader,From Lap,To Lap,# Of Laps
"Ricky Stenhouse, Jr.",1,23,23
Michael McDowell,24,24,1
Brad Keselowski,25,28,4
Aric Almirola,29,30,2
Brad Keselowski,31,38,8
Ryan Newman,39,39,1
Aric Almirola,40,43,4
Chase Elliott,44,66,23
Alex Bowman,67,67,1
Denny Hamlin,68,92,25
Corey LaJoie,93,93,1
Denny Hamlin,94,135,42
Ryan Blaney,136,136,1
"Ricky Stenhouse, Jr.",137,137,1
Ryan Blaney,138,140,3
Kyle Busch,141,148,8
Brad Keselowski,149,163,15
Joey Logano,164,169,6
Jimmie Johnson,170,172,3
Alex Bowman,173,174,2
Kyle Busch,175,180,6
Brad Keselowski,181,183,3
Ryan Newman,184,197,14
Denny Hamlin,198,209,12
