Rank,Driver,Points,Diff
1,Denny Hamlin,50,
2,Ryan Blaney,43,-7
3,Kevin Harvick,39,-11
4,Chris Buescher,38,-12
5,Ryan Newman,36,-14
6,Kyle Larson,35,-15
7,Chase Elliott,34,-16
8,David Ragan,33,-17
9,Ricky Stenhouse Jr,32,-18
9,Aric Almirola,32,-18
11,Clint Bowyer,31,-19
12,Austin Dillon,30,-20
12,Joey Logano,30,-20
14,Corey LaJoie,29,-21
15,Bubba Wallace,28,-22
16,John H. Nemechek,26,-24
17,Matt DiBenedetto,25,-25
18,Erik Jones,24,-26
19,Michael McDowell,23,-27
20,Alex Bowman,22,-28
20,Jimmie Johnson,22,-28
