Rank,Driver,Points,Diff
1,Denny Hamlin,664,
2,Kyle Larson,617,-47
3,Chase Elliott,591,-73
4,William Byron,564,-100
5,Joey Logano,548,-116
6,Martin Truex Jr,527,-137
7,Kyle Busch,520,-144
8,Ryan Blaney,509,-155
9,Kevin Harvick,483,-181
10,Brad Keselowski,473,-191
11,Alex Bowman,447,-217
12,Austin Dillon,436,-228
13,Tyler Reddick,398,-266
14,Chris Buescher,391,-273
15,Christopher Bell,364,-300
16,Michael McDowell,355,-309
17,Matt DiBenedetto,331,-333
18,Kurt Busch,328,-336
19,Ricky Stenhouse Jr,309,-355
20,Ross Chastain,307,-357
21,Bubba Wallace,298,-366
