Rank,Driver,Points,Diff
1,Kyle Larson,2040,
2,Christopher Bell,2032,-8
3,Tyler Reddick,2028,-12
4,William Byron,2022,-18
5,Ryan Blaney,2018,-22
6,Denny Hamlin,2015,-25
7,Chase Elliott,2014,-26
8,Brad Keselowski,2008,-32
9,Joey Logano,2007,-33
9,Austin Cindric,2007,-33
11,Daniel Suarez,2006,-34
12,Harrison Burton,2005,-35
12,Chase Briscoe,2005,-35
12,Alex Bowman,2005,-35
15,Ty Gibbs,2004,-36
15,Martin Truex Jr,2004,-36
17,Chris Buescher,690,-1350
18,Bubba Wallace,669,-1371
19,Ross Chastain,663,-1377
20,Kyle Busch,587,-1453
