Leader,From Lap,To Lap,# Of Laps
Bubba Wallace,1,34,34
Tyler Reddick,35,35,1
William Byron,36,37,2
Denny Hamlin,38,41,4
Shane Van Gisbergen,42,45,4
Kyle Larson,46,70,25
Ty Gibbs,71,71,1
Denny Hamlin,72,77,6
Kyle Larson,78,117,40
Bubba Wallace,118,118,1
Kyle Larson,119,152,34
Josh Berry,153,156,4
Kyle Larson,157,185,29
Christopher Bell,186,186,1
Denny Hamlin,187,191,5
Josh Berry,192,192,1
Kyle Larson,193,232,40
Chase Briscoe,233,233,1
Kyle Larson,234,272,39
Denny Hamlin,273,278,6
Bubba Wallace,279,280,2
Kyle Larson,281,315,35
Chase Briscoe,316,316,1
Kyle Larson,317,337,21
Chase Briscoe,338,338,1
Ross Chastain,339,341,3
Chase Briscoe,342,367,26
