Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,6,6,,
yellow_flag,7,23,17,"#11,18,19,48 accident turn 1",none
green_flag,24,32,9,,
yellow_flag,33,38,6,"#23,38 spun turn 4",#22
green_flag,39,76,38,,
yellow_flag,77,82,6,end of stage 1,#78
green_flag,83,128,46,,
yellow_flag,129,135,7,"#00,6 accident turn 3",#14
green_flag,136,139,4,,
yellow_flag,140,144,5,"#17,23 accident backstretch",#22
green_flag,145,186,42,,
yellow_flag,187,192,6,end of stage 2,#3
green_flag,193,293,101,,
Percent of race run under caution: 16.0%             Average green flag run: 35.1 laps
