Rank,Driver,Wins,Points
1,Kyle Larson,4,861
2,Martin Truex Jr,3,696
3,Alex Bowman,3,612
4,Kyle Busch,2,740
5,Chase Elliott,2,711
6,William Byron,1,749
7,Joey Logano,1,733
8,Ryan Blaney,1,689
9,Brad Keselowski,1,676
10,Kurt Busch,1,552
11,Christopher Bell,1,532
12,Michael McDowell,1,448
13,Aric Almirola,1,377
14,Denny Hamlin,0,874
15,Kevin Harvick,0,673
16,Tyler Reddick,0,596
