Rank,Driver,Points,Diff
1,Denny Hamlin,874,
2,Kyle Larson,861,-13
3,William Byron,749,-125
4,Kyle Busch,740,-134
5,Joey Logano,733,-141
6,Chase Elliott,711,-163
7,Martin Truex Jr,696,-178
8,Ryan Blaney,689,-185
9,Brad Keselowski,676,-198
10,Kevin Harvick,673,-201
11,Alex Bowman,612,-262
12,Tyler Reddick,596,-278
13,Austin Dillon,591,-283
14,Kurt Busch,552,-322
15,Christopher Bell,532,-342
16,Chris Buescher,475,-399
17,Matt DiBenedetto,453,-421
18,Ross Chastain,452,-422
19,Michael McDowell,448,-426
20,Bubba Wallace,426,-448
21,Ricky Stenhouse Jr,424,-450
